,Row,Moving Average,Difference Series of Moving Average,Year over Year,Difference of Year over Year
ADF Statistic:,-1.096257590385993,-1.3547055388833735,-3.4895248067481006,-4.228354204461339,-7.9153453491527594
p-value:,0.7165620249857182,0.6037881011621474,0.008260230103782374,0.0005897462783558047,3.8495245320725325e-12
